candidate_id,family,symbol,lookback,entry_z,observed_net_sharpe,permutation_count,permutation_mean_sharpe,permutation_median_sharpe,permutation_sharpe_p95,permutation_p_value,bootstrap_count,bootstrap_trade_count,bootstrap_median_total_return,bootstrap_total_return_p05,bootstrap_total_return_p95,bootstrap_probability_negative_return,bootstrap_median_max_drawdown,bootstrap_drawdown_p95,dsr_observation_count,dsr_trial_count,dsr_period_sharpe,dsr_sharpe_standard_error,dsr_benchmark_sharpe,dsr_probability,dsr_skewness,dsr_kurtosis,layer4_pass,failure_reason,fast_window,slow_window
trend__USDJPY__fast_window-12__slow_window-72,trend,USDJPY,,,-0.1357009873808848,2000,-0.10047023434199326,-0.11907018335616595,0.5515615162273915,0.5217391304347826,5000,767,-0.10068551579668555,-0.3766593747139497,0.3110786280931952,0.6824,0.2597002809034662,0.43106411666074634,40076,48,-0.0017179620735807593,0.004989309887776357,0.011278918676979418,0.004594442648159823,-1.4180141851938168,43.843253811044235,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,12.0,72.0
trend__USDJPY__fast_window-24__slow_window-120,trend,USDJPY,,,-0.07924996027013183,2000,-0.006533899987172243,-0.03162921089798107,0.6179090622654099,0.5527236381809095,5000,447,-0.07329810834720793,-0.36190504730029643,0.36568282653340906,0.6286,0.24337320427942571,0.4149025874774239,40076,48,-0.0010032972397962573,0.004992018158609248,0.011285041040024908,0.0069159942293704766,-1.3276079151438818,43.97846956885382,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,24.0,120.0
trend__USDJPY__fast_window-24__slow_window-240,trend,USDJPY,,,0.08219575044269169,2000,0.06288812443118443,0.061504877776736244,0.6659674094379794,0.4767616191904048,5000,295,0.009652849405445887,-0.2931100715263856,0.49385485121592726,0.4796,0.203695861822556,0.35933244513398116,40076,48,0.0010405906736235312,0.004998655118923021,0.011300044665240648,0.02006332156785655,-1.2727963418660369,44.04055405899215,False,permutation_p_value;bootstrap_probability_negative_return;deflated_sharpe_probability,24.0,240.0
trend__USDJPY__fast_window-24__slow_window-72,trend,USDJPY,,,0.09310116040199895,2000,-0.05430914514635909,-0.05920776480616212,0.5755124445887025,0.35332333833083457,5000,568,0.030856902314441513,-0.2869324875774568,0.5230653528324414,0.4442,0.2099045999433209,0.3696229187666741,40076,48,0.0011786521650580353,0.004999309479448905,0.011301523923759937,0.02144117950804701,-1.3433985267401463,43.88278500943055,False,permutation_p_value;bootstrap_probability_negative_return;deflated_sharpe_probability,24.0,72.0
trend__XAUUSD__fast_window-12__slow_window-120,trend,XAUUSD,,,0.7142335411796679,2000,0.05774351436050949,0.02729146892845071,0.7204252142928608,0.05297351324337831,5000,572,1.0482529420569155,0.01939461032962712,3.3018545489835485,0.0444,0.21646890923032874,0.36778457632714845,38760,48,0.009194269905321014,0.005085710743478588,0.011496844088772447,0.32536306553572425,-0.20589439755285036,28.790508148669137,False,permutation_p_value;deflated_sharpe_probability,12.0,120.0
trend__XAUUSD__fast_window-12__slow_window-240,trend,XAUUSD,,,0.3042844043023912,2000,0.11685754043064855,0.09549476731623313,0.751313357502415,0.2943528235882059,5000,408,0.2612640709159874,-0.3594683550680399,1.7977271372929107,0.2986,0.30251854928903127,0.5005872489547585,38760,48,0.00391702822653108,0.005084482748121092,0.011494068061609486,0.06808211521411503,-0.4823778442914593,28.847462014584185,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,12.0,240.0
trend__XAUUSD__fast_window-12__slow_window-72,trend,XAUUSD,,,0.580896135586641,2000,0.017369936484453754,-0.016930324674232302,0.6925389384039219,0.08445777111444278,5000,764,0.7594493582742956,-0.1107881469794959,2.557556368299779,0.0844,0.24377512662090578,0.41395902139684615,38760,48,0.007477828398705801,0.005084915043067788,0.011495045314908622,0.21475618737910895,-0.23800407811397212,28.679296810129077,False,permutation_p_value;bootstrap_drawdown_p95;deflated_sharpe_probability,12.0,72.0
trend__XAUUSD__fast_window-24__slow_window-120,trend,XAUUSD,,,0.5690813247775517,2000,0.06609153341955715,0.04889714770956291,0.7151426663017055,0.09745127436281859,5000,420,0.7031213737719626,-0.0983775414773423,2.404910281637149,0.0866,0.23168390999918703,0.390529739646072,38760,48,0.0073257373063725355,0.005084680081511806,0.01149451415682429,0.20614509952186938,-0.23226834726755732,28.76750427660065,False,permutation_p_value;deflated_sharpe_probability,24.0,120.0
trend__XAUUSD__fast_window-24__slow_window-240,trend,XAUUSD,,,0.3806492961875923,2000,0.13694808120114724,0.11572172951788834,0.8115857290559776,0.2518740629685157,5000,284,0.38150979778597893,-0.28181228747928294,1.871770629314092,0.2176,0.26224603259209467,0.449416489716808,38760,48,0.004900067228204872,0.005086257832504757,0.01149808084751745,0.097277133994215,-0.5160639996754462,28.87228830921254,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,24.0,240.0
trend__XAUUSD__fast_window-24__slow_window-72,trend,XAUUSD,,,0.6778500348543828,2000,0.0417311093145599,0.02003227949749891,0.7176903711996684,0.06296851574212893,5000,524,0.9605403493713944,0.030135743357548456,2.853707604399491,0.042,0.21559995369994495,0.36202193573157326,38760,48,0.008725908006908747,0.005087781139349226,0.011501524460843801,0.2926891744625123,-0.3173857659874283,28.69956377914471,False,permutation_p_value;deflated_sharpe_probability,24.0,72.0
